children,adults,elderly,food_ordered,food_wasted
430,13,279,94,59
90,613,813,306,190
720,572,488,342,94
95,795,202,278,57
292,822,591,283,185
751,526,180,209,142
38,618,393,218,46
980,522,546,319,218
111,235,969,171,32
447,67,947,174,30
128,819,255,229,160
582,302,995,318,136
994,935,383,395,143
487,106,974,216,89
429,386,99,201,122
940,611,99,252,49
141,610,17,183,32
673,702,560,308,149
123,615,127,191,127
123,117,405,85,22
171,129,877,192,55
654,56,301,152,111
464,45,740,193,58
309,378,610,176,123
575,368,709,252,97
796,3,544,183,111
986,691,185,330,100
689,601,491,309,124
2,706,730,272,163
288,197,251,156,59
611,231,970,266,144
712,652,54,278,47
583,730,492,285,193
679,680,137,302,71
405,771,748,323,190
721,424,753,295,191
334,157,293,102,34
616,882,547,348,175
898,691,662,399,222
363,75,77,82,28
920,276,93,169,45
210,789,996,311,170
77,214,529,96,21
392,845,66,271,176
149,202,863,194,140
824,829,454,407,143
343,266,222,145,48
764,363,511,255,150
97,558,591,242,115
789,662,222,319,195
734,259,896,303,87
939,430,585,334,204
836,710,947,429,144
244,655,582,313,52
511,632,852,364,243
610,874,364,374,261
788,511,803,340,60
296,70,305,93,45
762,828,611,407,262
562,30,431,133,99
763,139,968,213,82
143,28,481,135,74
363,22,550,157,48
680,631,731,330,200
471,446,408,223,99
497,749,369,265,100
445,956,700,346,124
944,157,468,207,92
689,619,574,345,106
816,135,670,180,32
464,200,460,214,122
703,475,561,259,183
548,112,415,142,72
797,219,562,251,178
45,860,810,325,189
707,518,594,266,95
150,917,631,353,238
212,362,174,100,45
714,3,324,145,105
369,474,797,257,192
506,251,411,224,135
846,468,452,273,76
445,631,866,352,243
350,855,317,304,195
178,310,661,151,30
451,845,247,260,179
269,482,614,201,57
800,41,955,193,88
949,967,434,405,243
823,766,642,409,213
734,262,836,225,79
980,960,738,419,175
618,368,929,304,218
59,403,430,115,61
220,722,608,313,181
650,646,189,298,216
336,782,238,314,113
998,433,505,311,108
675,721,4,307,202
792,272,486,212,97
307,264,274,137,76
380,31,168,45,14
496,926,790,378,156
354,544,838,262,69
297,107,626,126,68
923,416,602,343,63
488,356,617,205,110
781,871,605,382,269
396,874,671,365,198
842,150,612,183,118
585,305,56,204,139
731,597,969,358,143
852,574,873,327,177
355,595,248,187,118
315,538,956,319,118
188,239,356,128,78
158,339,765,239,115
675,314,824,231,141
530,64,1,45,32
148,768,385,295,150
463,386,562,199,88
631,951,809,458,208
884,390,537,255,48
394,808,660,295,114
870,193,738,225,75
856,288,810,236,86
68,899,723,314,73
172,833,994,401,66
672,561,98,208,62
333,458,718,207,79
170,643,836,288,142
879,655,624,393,131
966,521,410,349,132
75,860,946,294,64
17,763,615,312,210
393,53,886,160,62
231,838,406,331,154
646,963,481,371,58
511,119,308,180,84
644,261,761,268,184
136,3,550,77,28
376,129,531,141,77
451,379,719,242,117
353,701,825,335,213
251,768,72,270,87
361,756,223,232,167
727,453,222,281,50
149,495,423,241,45
861,67,569,224,131
913,518,790,362,186
962,910,48,336,231
939,166,537,248,174
866,921,170,401,162
651,878,980,406,234
439,208,526,181,60
903,196,4,163,64
370,13,230,28,20
321,619,349,268,145
898,153,941,303,186
166,405,57,96,30
64,899,84,284,170
187,271,589,177,127
919,871,876,396,122
918,906,336,333,102
475,181,420,173,111
959,560,997,428,244
505,123,309,158,32
239,949,68,304,56
41,322,164,73,24
826,832,265,338,197
979,500,536,327,207
456,317,760,199,70
596,158,6,129,63
543,163,598,135,41
372,317,729,213,122
37,768,572,285,93
614,653,178,257,120
660,104,535,167,33
345,350,342,191,60
509,25,686,133,92
833,473,906,304,220
