children,adults,elderly,food_ordered,food_wasted
892,808,681,370,60
712,325,498,190,67
999,60,706,239,135
300,800,429,300,206
421,437,65,211,39
671,936,158,301,60
296,22,966,133,75
551,903,62,280,57
721,94,744,246,111
306,291,54,132,28
693,21,693,229,51
382,334,307,177,130
660,191,924,225,75
40,311,159,136,70
535,705,280,309,92
882,222,284,250,111
645,726,54,302,161
530,37,973,162,54
577,961,782,437,218
764,497,224,200,87
363,866,787,330,101
218,535,599,254,101
552,428,695,267,92
573,978,217,333,83
30,20,597,51,28
198,166,27,104,37
36,240,117,93,44
938,863,191,338,229
762,129,884,278,87
38,36,545,39,10
630,129,572,187,63
114,353,809,248,173
595,751,184,297,128
583,17,724,185,64
409,245,464,160,102
483,484,8,149,66
905,637,853,423,74
418,979,813,404,92
364,429,190,210,74
320,751,925,363,220
171,14,1,54,38
857,980,914,479,114
448,35,473,84,28
205,783,864,349,151
886,24,383,215,55
736,203,943,211,88
141,798,678,261,69
206,844,619,335,250
126,53,38,23,14
575,462,918,335,181
825,716,652,386,225
481,683,573,315,146
497,314,576,211,107
732,26,452,146,78
993,546,444,365,117
778,691,431,302,146
870,943,619,457,79
718,744,632,370,89
444,104,166,72,26
272,742,902,333,100
319,872,956,413,106
201,905,310,266,72
34,622,251,151,74
428,582,74,241,119
254,248,400,185,30
611,844,950,444,141
972,277,906,318,65
180,608,395,186,67
189,697,419,259,58
427,896,91,326,236
913,398,286,287,83
985,163,63,195,145
69,745,729,260,108
140,894,471,271,65
173,365,455,207,84
414,579,943,298,99
291,664,837,313,132
367,611,11,211,153
304,769,526,252,160
155,622,225,162,86
226,420,227,134,92
42,441,995,205,140
346,651,964,281,79
562,384,141,184,75
109,611,47,163,70
19,609,476,255,174
466,971,514,344,157
805,544,239,315,148
688,316,175,199,49
837,472,845,350,240
691,404,120,186,115
435,201,666,197,72
519,335,835,271,197
120,619,55,173,67
970,535,22,224,68
325,780,287,227,160
215,551,749,217,75
677,564,841,335,111
415,250,978,232,59
103,240,788,140,90
941,956,338,396,195
336,7,70,59,23
33,396,140,82,57
603,355,418,228,163
496,565,963,357,166
649,171,767,196,131
818,47,639,225,63
824,20,368,153,97
560,36,708,118,30
684,149,630,212,98
383,944,891,392,173
284,821,862,303,106
106,624,39,127,89
32,673,924,254,74
489,850,568,363,223
316,635,554,233,67
322,853,904,403,109
391,924,362,358,134
281,799,772,321,175
694,155,366,182,131
853,323,827,281,90
980,805,42,293,214
770,514,263,281,167
332,785,569,273,185
295,581,517,256,75
752,481,626,295,109
932,805,680,422,97
324,420,429,239,139
485,976,706,431,105
301,159,954,183,40
310,521,160,192,119
558,207,985,227,137
628,968,204,327,121
72,629,607,282,94
248,334,295,107,59
642,780,95,329,144
368,49,79,80,37
863,643,634,353,146
651,422,310,204,85
96,439,405,155,49
277,453,596,183,33
739,241,718,263,40
974,417,848,300,142
792,392,764,300,111
481,890,988,454,253
985,449,629,282,143
784,90,346,156,26
757,791,903,371,139
90,180,226,122,37
673,598,540,302,54
297,888,729,374,64
895,889,986,500,143
120,114,572,130,31
990,736,615,427,267
523,367,342,207,43
264,321,821,187,75
778,494,114,209,104
998,854,143,373,197
159,905,628,373,186
291,689,576,251,60
624,780,494,305,78
853,739,88,279,194
838,803,781,356,101
177,62,299,48,35
