children,adults,elderly,food_ordered,food_wasted
58,145,41,35,4
103,258,20,45,5
76,190,23,46,6
45,113,23,37,4
49,123,34,27,4
59,148,19,23,3
57,143,42,42,6
15,38,19,25,3
66,165,43,30,3
81,203,8,35,5
111,278,29,45,6
88,220,38,44,6
22,55,26,24,3
103,258,32,49,7
37,93,25,19,2
10,25,35,13,2
96,240,38,54,7
105,263,8,46,7
96,240,29,43,6
18,45,34,11,2
99,248,31,52,6
110,275,9,44,5
15,38,7,20,3
28,70,38,18,2
53,133,9,31,4
14,35,8,13,1
49,123,13,22,2
86,215,22,32,4
25,63,30,22,2
69,173,43,43,6
121,303,39,54,6
87,218,36,41,6
71,178,40,39,6
97,243,10,53,7
30,75,9,18,2
106,265,38,42,6
111,278,29,45,6
87,218,27,49,5
12,30,30,20,2
110,275,19,42,6
86,215,38,45,5
82,205,32,47,6
72,180,34,48,6
28,70,33,17,2
110,275,20,54,8
115,288,44,47,7
23,58,36,30,3
35,88,27,27,3
116,290,28,57,6
95,238,8,46,5
91,228,40,45,6
12,30,29,7,1
96,240,38,44,5
42,105,24,25,3
99,248,29,40,4
36,90,42,34,4
40,100,22,22,3
97,243,28,40,5
120,300,13,58,7
88,220,29,50,6
117,293,13,45,6
110,275,11,54,7
46,115,35,20,3
39,98,19,35,4
83,208,26,42,5
44,110,14,22,3
115,288,10,63,9
45,113,23,25,3
122,305,35,63,7
57,143,26,35,4
